timestamp_ms,channel,sample_0,sample_1,sample_2,sample_3,sample_4,sample_5,sample_6,sample_7,sample_8,sample_9,sample_10,sample_11
1771936199888,AF8,-0.9766,17.5781,35.6445,25.8789,13.1836,27.8320,41.0156,27.3438,11.2305,14.6484,26.8555,30.2734
1771936199888,TP9,84.4727,47.3633,18.0664,37.1094,69.3359,62.9883,24.4141,25.8789,79.1016,68.3594,8.3008,-0.9766
1771936199888,AF7,21.9727,46.3867,58.5938,40.5273,18.5547,36.6211,56.6406,50.7813,33.6914,22.9492,25.3906,29.7852
1771936199933,TP10,61.5234,74.2188,16.6016,2.9297,55.6641,85.9375,27.8320,-14.6484,17.0898,75.1953,36.1328,-10.2539
1771936199933,AF8,21.9727,23.4375,34.6680,37.5977,35.6445,11.7188,13.1836,25.8789,17.0898,20.9961,24.4141,39.0625
1771936199933,TP9,64.9414,91.7969,25.8789,0.4883,50.2930,87.4023,43.4570,4.8828,28.8086,78.6133,38.5742,-9.2773
1771936199934,AF7,26.3672,34.6680,44.9219,45.8984,39.0625,27.3438,47.3633,50.2930,28.8086,21.9727,30.7617,45.4102
1771936199977,TP10,19.0430,75.1953,55.6641,3.9063,6.3477,56.6406,75.1953,14.6484,2.4414,49.3164,73.7305,24.4141
1771936199977,AF8,54.1992,21.9727,8.3008,26.8555,27.3438,8.3008,7.8125,32.7148,43.9453,35.1563,13.1836,12.2070
1771936199978,TP9,21.9727,79.5898,71.2891,11.2305,-1.9531,54.1992,75.6836,16.1133,1.4648,48.8281,71.2891,27.8320
1771936199979,AF7,59.0820,49.3164,30.7617,34.1797,45.4102,40.5273,29.2969,35.1563,52.7344,53.7109,35.1563,32.2266
1771936200023,TP10,-17.0898,7.8125,60.5469,45.4102,-5.8594,1.4648,57.6172,71.7773,17.5781,-11.7188,36.6211,64.4531
1771936200023,AF8,22.9492,13.6719,-4.8828,6.8359,22.9492,26.3672,19.0430,25.3906,33.6914,23.9258,4.8828,0.9766
